,Харилцагчийн нэр,Эхний үлдэгдэл, Борлуулалтын авлага ,Хасагдсан дүн,Эцсийн үлдэгдэл,,
66,Еркебулан /88360018/ Эрдэнэт," 9,438,449.29 "," 44,155,480.00 "," 50,289,080.00 "," 3,304,849.29 ",,
67,Жамц Private brand jack, -   ," 192,124,343.91 "," 59,216,500.00 "," 132,907,843.91 ",,
68,Зиндаа стейт ХХК, -   ," 270,000.00 ", -   ," 270,000.00 ",,
69,Идэрбат, -   ," 277,200.00 "," 277,200.00 ", -   ,,
70,Идэрбаяр Gold manager, -   ," 944,000.00 "," 944,000.00 ", -   ,,
71,Их талын таван эрдэнэ ХХК / Gusto Restaurant, -   ," 646,000.00 "," 646,000.00 ", -   ,,
72,Их Үйлс Үлэмж ХХК/ Gold`s Gym," 6,517,020.00 "," 21,990,290.00 "," 74,307,310.00 "," (45,800,000.00)",,
73,Комбасшн ХХК/ Naadam2," 16,879,440.00 "," 42,618,920.00 "," 59,274,360.00 "," 224,000.00 ",,
74,Корпорейт хотел энд конвейшн центр, -   ," 855,360.00 "," 855,360.00 ", -   ,,
75,Лаки энержи кинг ХХК / Oriental treasure, -   ," 1,260,000.00 "," 1,260,000.00 ", -   ,,
76,М-Армор/Budda vista," 1,162,760.00 "," 6,690,860.00 "," 7,853,620.00 ", -   ,,
77,Макслэр/maxler fitness /Тамираа 99188491/," 791,080.00 "," 17,324,000.00 "," 18,115,080.00 ", -   ,,
78,Монгол Бридж фүүдс ХХК/ Shangrila Gym /90114340/ Дагвадорж/," 4,218,890.28 "," 13,564,640.00 "," 15,845,840.00 "," 1,937,690.28 ",,
79,Мөнхийн жороо, -   ," 306,000.00 "," 306,000.00 ", -   ,,
80,Мөнхцэцэг," 500,000.00 "," 13,365.00 "," 1,236,006.95 "," (722,641.95)",,
81,Наадам 1 Шинэ/Цахим Цагираг ХХК, -   ," 57,442,190.00 "," 57,442,190.00 ", -   ,,
82,Наранбаяр, -   ," 1,303,130.00 "," 2,668,630.00 "," (1,365,500.00)",,
83,Номин," 22,950.00 "," 226,350.00 "," 226,350.00 "," 22,950.00 ",,
84,Номин /11-р хороолол/, -   ," 281,499.12 "," 281,499.12 ", -   ,,
85,Номин /19-Хануул/, -   ," 1,595,161.68 "," 1,595,161.68 ", -   ,,
86,Номин /32/," 281,499.12 "," 1,895,952.60 "," 2,177,451.72 ", (0.00),,
87,Номин /River 89883100/, -   ," 174,397.24 "," 174,397.24 ", -   ,,
88,Номин /United/, -   ," 375,332.16 "," 375,332.16 ", -   ,,
89,Номин /Билиг Их Дэлгүүр/, -   ," 187,666.08 "," 187,666.08 ", -   ,,
90,Номин /Зунжин/, -   ," 536,460.56 "," 536,460.56 ", (0.00),,
91,Номин /Их Монгол/, -   ," 442,627.52 "," 442,627.52 ", (0.00),,
92,Номин /Наадам/, -   ," 1,301,344.88 "," 1,301,344.88 ", -   ,,
93,Номин /Нарны зам/, -   ," 2,449,540.36 "," 2,449,540.36 ", -   ,,
94,Номин /Нисэх/, -   ," 93,833.04 "," 93,833.04 ", -   ,,
95,Номин /Сентоза/, -   ," 281,499.12 "," 281,499.12 ", -   ,,
96,Номин /УИД/, -   ," 817,959.68 "," 817,959.68 ", (0.00),,
97,Номин /яармаг Cedar/, -   ," 630,293.60 "," 630,293.60 ", -   ,,
98,Номин /яармаг/, -   ," 362,063.32 "," 362,063.32 ", -   ,,
99,Номин /Өнөр хороолол/, -   ," 281,499.12 "," 281,499.12 ", -   ,,
100,Номинтав трейд," 4,164,565.04 "," 3,895,853.40 "," 19,521,922.16 "," (11,461,503.72)",,
101,Олимпус спортинг гүүдс/ Olimpus Gym /99047516/ Отгоо," 112,320.00 "," 32,065,020.00 "," 32,775,840.00 "," (598,500.00)",,
102,Оргил /Амгалан/, -   ," 225,720.00 "," 225,720.00 ", -   ,,
103,Оргил /Сонсголон/, -   ," 451,440.00 "," 451,440.00 ", -   ,,
104,Оргил чариот, -   ," 23,023,820.00 "," 23,714,750.00 "," (690,930.00)",,
105,Очгэрэл, -   ," 3,568,000.00 ", -   ,,,
106,Очгэрэл Дархан king fitness, -   ," 8,529,330.00 "," 12,097,330.00 ",,,
107,Очир-Дагинас ххк," 270,000.00 "," 4,950,000.00 "," 5,344,500.00 "," (124,500.00)",,
108,Повер нутришн ХХК, -   ," 245,247,042.49 "," 245,247,042.49 ", -   ,,
109,Премиум палас, -   ," 13,496,020.00 "," 16,978,060.00 "," (3,482,040.00)",,
110,Премиум стэрн / Lantern restaurant," 3,462,000.00 "," 3,696,000.00 "," 2,473,839.00 "," 4,684,161.00 ",,
111,Примо Чао Чао ХХК, -   ," 1,800,000.00 "," 1,800,000.00 ", -   ,,
112,Ривер клуб/River club /Одончимэг 90999022/," 1,235,520.00 "," 8,694,000.00 "," 9,929,520.00 ", -   ,,
113,Рояал вэлфит/ Royal well fit, -   ," 8,350,560.00 "," 8,350,560.00 ", -   ,,
114,Сагсан бөмбөгийн холбоо, -   ," 4,198,150.00 "," 4,198,150.00 ", -   ,,
115,Сайншанд/95113028/Гантулга," 2,357,920.00 "," 6,150,000.00 "," 8,507,920.00 ", -   ,,
116,Соёлзул," 1,229,336.00 "," 220,500.00 ",," 1,449,836.00 ",,
117,Соёмбо Мөнх од апекс ХХК, -   ," 4,724,620.00 "," 4,724,620.00 ", -   ,,
118,Степпелинк холдинг ХХК / Steplink Holding, -   ," 4,890,000.00 "," 4,890,000.00 ", -   ,,
119,Стор пэй ххк storepay," 6,283,878.50 "," 56,093,550.00 "," 62,377,428.50 ", -   ,,
120,Түмэн занги Говь фитнесс, -   ," 3,956,040.00 "," 3,956,040.00 ", -   ,,
121,Фингэр энд фүүд ХХК, -   ," 160,380.00 "," 160,380.00 ", -   ,,
122,Фламм Продуктс ХХК /Flamme /, -   ," 5,749,920.00 "," 5,749,920.00 ", -   ,,
123,Фрэш пак ХХК/freshpack, -   ," 2,817,600.00 "," 3,376,000.00 "," (558,400.00)",,
124,Харилцагчгүй, -   ," 1,420,810,407.00 "," 1,420,810,407.00 ", -   ,,
125,Хас Мета Зам, -   ," 2,866,500.00 "," 2,866,500.00 ", -   ,,
126,Хулан уул ХХК/ Efes," 3,032,760.00 "," 475,200.00 "," 3,978,040.00 "," (470,080.00)",,
127,Хурд центр /Наадам центр/," 7,086,500.00 "," 9,734,650.00 "," 15,412,250.00 "," 1,408,900.00 ",,
128,ХӨШИГТТАУВЭР, -   ," 406,800.00 "," 406,800.00 ", -   ,,
129,Цамба түвшин, -   ," 450,000.00 "," 450,000.00 ", -   ,,
130,Цог гүүр ХХК, -   ," 1,555,360.00 "," 5,122,960.00 "," (3,567,600.00)",,
131,Цогжаргал," 2,003,635.00 "," 90,000.00 ", -   ," 2,093,635.00 ",,
132,Цогоо /94272727/ Өмнө-говь, -   ," 17,260,150.00 ", -   ,,,
133,Цогоо /94272727/ Өмнөговь Цог ялалт," 3,120,000.00 "," 6,182,840.00 "," 26,562,990.00 ",,,
134,Цогт мандал тэмүүлэл ХХК, -   ," 1,284,900.00 ", -   ,,,
135,Цогт мандал тэмүүлэл ХХК /Health point/, -   ," 1,975,625.00 "," 3,270,300.00 ",,,
136,Цэнд-Аюуш," (106,180.74)"," 614,770.00 "," 508,589.26 ", -   ,,
137,Чонос /95870727/," 3,041,420.00 "," 14,839,890.00 "," 17,881,310.00 ", -   ,,
138,Шинээ спиннинг, -   ," 25,626,470.00 "," 24,826,470.00 "," 800,000.00 ",,
139,Эгшиглэн, -   ," 102,000.00 "," 933,840.92 "," (831,840.92)",,
140,Эл поза ХХК/ El poza 505, -   ," 602,400.00 "," 602,400.00 ", -   ,,
141,Энх ундрах ХХК / AIM e-sport center, -   ," 450,000.00 "," 450,000.00 ", -   ,,
142,Энх-Эрдэнэ, -   ," 60,000.00 "," 251,279.44 "," (191,279.44)",,
143,Энхжаргал," 534,240.00 "," 147,510.00 "," 681,750.00 ", -   ,,
144,Энхцэцэг," 249,850.00 "," 225,200.00 ",," 475,050.00 ",,
145,Эрдэнэс цог жавхлан ХХК, -   ," 1,235,520.00 "," 1,235,520.00 ", -   ,,
146,Эрдэнэт gym /Хишигжаргал 99430043/," 400,000.00 "," 2,445,950.00 "," 2,845,950.00 ", -   ,,
147,Эс ди сервис/ jardin gym, -   ," 3,849,120.00 "," 3,849,120.00 ", -   ,,
148,Үүрийнтуяа," 10,097,283.32 "," 1,248,635.00 "," 2,546,200.00 "," 8,799,718.32 ",,
149,Нийт," 439,378,510.00 "," 3,831,210,620.76 "," 3,843,224,410.72 "," 427,374,495.04 ",,
